U34300MP1999PTC013302,RAJPAL ABHIKARAN PRIVATE LIMITED,Gwalior,Active,rajeshgurbani1@yahoo.co.in
U51909GJ2017PTC098002,REENA SYNTEX PRIVATE LIMITED,Ahmedabad,Active,reenasyntex@gmail.com
U33112TG2021PTC148953,TVISHA INDUSTRIES PRIVATE LIMITED,Hyderabad,Active,dralifoundation@icloud.com
U74899DL1992PTC050906,SATISH ANAND LEASING PRIVATE LIMITED,Delhi,Active,ajaysharma9192@gmail.com
U74999DL2021OPC382226,FLIGHTPATH INFOGAIN (OPC) PRIVATE LIMITED,Delhi,Active,flightpathinfogainpvltd@gmail.com
U93090GJ2022PTC136000,HERITAGE LAMINATES PRIVATE LIMITED,Ahmedabad,Active,heritagelaminates@heritagesurfaces.com
U17299MH2022PTC391609,VINPRO TEXTILES PRIVATE LIMITED,Mumbai,Active,ag@proma.co.in
U52100UP2016PTC077119,VPM RETAILS PRIVATE LIMITED,Kanpur,Active,seth@foxsecuritysolutions.com
U74899DL1995PLC062607,R G SHARE BROKERS LIMITED,Delhi,Active,rgsharebroker@rediffmail.com
U72500GJ2017PTC098852,DIACOUSTIC LABS PRIVATE LIMITED,Ahmedabad,Active,pratham.wal@gmail.com
U65999KA2000PTC033945,SEQUOIA CAPITAL INDIA ADVISORS PRIVATE LIMITED,Bangalore,Active,sunder.ramdas@sequoiacap.com
U74990MH2010PTC208218,EXHICON EVENTS MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,Active,syed@exhicongroup.com
U74999TN2017PTC119939,KRISHCA STRAPPING SOLUTIONS PRIVATE LIMITED,Chennai,Active,bala.lenin@krishcastrapping.com
U45400DL2016PTC292012,FORMULAIC ENGINEERS PRIVATE LIMITED,Delhi,Active,priyagautamvsspl@gmail.com
U27100CT2014PLC001311,JAINAM FERRO ALLOYS (I) LIMITED,Chhattisgarh,Active,jainamferro@gmail.com
U51109MP2004PTC016959,SYSTANGO TECHNOLOGIES PRIVATE LIMITED,Gwalior,Active,nilesh@systango.com
U31100MH1982PTC028406,RISHABH INSTRUMENTS PVT LTD,Mumbai,Active,narendra.goliya@rishabh.co.in
U74999UP2016PTC084440,VUENOW MARKETING SERVICES PRIVATE LIMITED,Kanpur,Active,Vuenowtax@outlook.com
U65999TG2011PTC074795,ZAGGLE PREPAID OCEAN SERVICES PRIVATE LIMITED,Hyderabad,Active,haripriya.singh@zaggle.in
U74999GJ2019PTC106194,VULGATE LUBRICANTS PRIVATE LIMITED,Ahmedabad,Active,mitalie1610@gmail.com
L74899DL1981PLC015865,NIIT LIMITED,Delhi,Active,deepak.bansal@niit.com
U52190DL2009PTC191827,EXPRESSION MANTRA MULTIMARKETING SOLUTIONS PRIVATE LIMITED,Delhi,Active,cakdheeraj@gmail.com
U74999PN2017PTC173326,PARMAR'S OURSTORIES MEDIA & ENTERTAINMENT PRIVATE LIMITED,Pune,Active,amee.mann4@gmail.com
U74899DL1972PTC006306,RAJIV MOTORS PRIVATE LIMITED,Delhi,Active,rajivdewan1@gmail.com
U72300DL2014PTC264533,MOTHERSON INVENZEN XLAB PRIVATE LIMITED,Delhi,Active,vav@motherson.com
U01132WB2007PLC115278,VARUN TEA PLANTATIONS LIMITED,Kolkata,Active,company.secretary@ellenbarrie.com
U72900KA2016PTC095852,MEDIBOX DIGITAL SOLUTIONS PRIVATE LIMITED,Bangalore,Active,dharamvir.malik@akums.net
U52190WB2009PTC137709,BALGOPAL COMMOSALES PRIVATE LIMITED,Kolkata,Active,mkagarwal078@gmail.com
U72900KA2020PTC133526,CARDPAY TECHNOLOGIES PRIVATE LIMITED,Bangalore,Active,vishal.mehta@ia.ooo
U24119DL1997PTC088275,S.D. POLYMER PVT.LTD.,Delhi,Active,sdpolymers@gmail.com
U74899DL1993PLC055471,N D A SHARE BROKERS LIMITED,Delhi,Active,gsankul@gmail.com
U80301MH2013NPL248581,MENTORME FOUNDATION,Mumbai,Active,prashant.k@theapprenticeproject.org
U14299RJ2021PTC073147,SHRI GOVIND GRANITE AND MINES PRIVATE LIMITED,Jaipur,Active,FGPS.SOLAR@GMAIL.COM
U24299BR2021PTC052530,TATHAGAT CHEMICALS AND ENGINEERING PRIVATE LIMITED,Patna,Active,tcaeplpatna@gmail.com
U29302KA2006PTC038883,SIGNATURE KITCHENS (INDIA) PRIVATE LIMITED,Bangalore,Active,amrish@koshambh.com
U74999GJ2018PTC101507,THED PIZZA PRIVATE LIMITED,Ahmedabad,Active,dhruveshdhanani@gmail.com
U51900MH1984PTC032470,NAFEES EXPORTS PVT LTD,Mumbai,Strike Off,-
U51109WB2007PTC114077,GENNEXT COMMOTRADE PRIVATE LIMITED,Kolkata,Active,vin.fca@gmail.com
U45400DL2007PTC162495,GADGET BUILDERS PRIVATE LIMITED,Delhi,Active,tarc@tarc.in
U45400WB2009PTC132416,ADITYA INFRAPROJECT PRIVATE LIMITED,Kolkata,Converted to LLP,neha@nehasinghi.com
U55101WB2011PTC169706,SIDDHANT HOTELS AND RESTAURANTS PRIVATE LIMITED,Kolkata,Active,siddhanthnr@gmail.com
U74999KA2020PTC140025,EBONO PRIVATE LIMITED,Bangalore,Active,communications@ebo.com
U52590MP2015PTC033885,SARA INDIA ONLINE SHOPPING PRIVATE LIMITED,Gwalior,Active,miteshverma72@gmail.com
U72200MH2021PTC364729,REVIND ANALYTICS PRIVATE LIMITED,Mumbai,Active,prakash15patil@gmail.com
U51109WB2005PTC103753,LOGIC TRADERS PRIVATE LIMITED,Kolkata,Active,araj_varanasi@yahoo.co.in
U40106GJ2016PTC085576,ADANI SOLAR ENERGY FOUR PRIVATE LIMITED,Ahmedabad,Active,pragnesh.darji@adani.com
U45400WB2008PTC121404,SHAKUNTALAM REALBUILD PRIVATE LIMITED,Kolkata,Active,coallink@gmail.com
U74999DL2013PTC247515,MAKE INDIASMART PRIVATE LIMITED,Delhi,Active,info@makeindiasmart.com
U27107KA1971PLC002064,SHIVMONI STEEL TUBES LIMITED,Bangalore,Under Liquidation,-
U29306MH2019PTC319833,KHATALE AUTOMOTIVE & ENGINEERING PRIVATE LIMITED,Mumbai,Active,ravindra.khatale@yahoo.com
U45209TN2021PTC143695,TRUEWAY BUSINESS SERVICES PRIVATE LIMITED,Chennai,Active,aryundeva@gmail.com
L27106UP1970PLC003353,ATMA STEELS LIMITED,Kanpur,Active,atmasteelsltd@rediffmail.com
U70101TN2007PLC064449,CHONA MEGATAINMENT MALLS LIMITED,Chennai,Active,pal@chona.com
U31900WB2010PTC154236,MEGATHERM INDUCTION PRIVATE LIMITED,Kolkata,Active,vineet.mohta@megatherm.com
U24100KL2021PTC071829,COSMUS SKIN CARE PRIVATE LIMITED,Ernakulam,Active,fathima.noureen@ymail.com
U18101TG2005PTC046575,KALANIKETHAN SILKS PRIVATE LIMITED,Hyderabad,Active,ramyakrishna.s@ril.com
U74999HR2014PTC068135,AZURO PROPERTY MANAGEMENT SERVICES PRIVATE LIMITED,Delhi,Active,secretarial@squareyards.com
U36999DL2016PTC306855,BAGCLUES EXIM PRIVATE LIMITED,Delhi,Active,rajbothra11@gmail.com
U72900TN2011FTC082962,VISHWAYANTRI TECHNOLOGIES PRIVATE LIMITED,Chennai,Active,ramgprasath@gmail.com
U40108HP1995PTC016183,DHAMWARI POWER COMPANY PRIVATE LIMITED,HimachalPradesh,Active,secretarial@goyalgroup.com
U74899DL1993PLC055471,N D A SHARE BROKERS LIMITED,Delhi,Active,gsankul@gmail.com
U80301MH2013NPL248581,MENTORME FOUNDATION,Mumbai,Active,prashant.k@theapprenticeproject.org
U14299RJ2021PTC073147,SHRI GOVIND GRANITE AND MINES PRIVATE LIMITED,Jaipur,Active,FGPS.SOLAR@GMAIL.COM
U24299BR2021PTC052530,TATHAGAT CHEMICALS AND ENGINEERING PRIVATE LIMITED,Patna,Active,tcaeplpatna@gmail.com
U29302KA2006PTC038883,SIGNATURE KITCHENS (INDIA) PRIVATE LIMITED,Bangalore,Active,amrish@koshambh.com
U74999GJ2018PTC101507,THED PIZZA PRIVATE LIMITED,Ahmedabad,Active,dhruveshdhanani@gmail.com
U51900MH1984PTC032470,NAFEES EXPORTS PVT LTD,Mumbai,Strike Off,-
U51109WB2007PTC114077,GENNEXT COMMOTRADE PRIVATE LIMITED,Kolkata,Active,vin.fca@gmail.com
U45400DL2007PTC162495,GADGET BUILDERS PRIVATE LIMITED,Delhi,Active,tarc@tarc.in
U45400WB2009PTC132416,ADITYA INFRAPROJECT PRIVATE LIMITED,Kolkata,Converted to LLP,neha@nehasinghi.com
U55101WB2011PTC169706,SIDDHANT HOTELS AND RESTAURANTS PRIVATE LIMITED,Kolkata,Active,siddhanthnr@gmail.com
U74999KA2020PTC140025,EBONO PRIVATE LIMITED,Bangalore,Active,communications@ebo.com
U52590MP2015PTC033885,SARA INDIA ONLINE SHOPPING PRIVATE LIMITED,Gwalior,Active,miteshverma72@gmail.com
U72200MH2021PTC364729,REVIND ANALYTICS PRIVATE LIMITED,Mumbai,Active,prakash15patil@gmail.com
U51109WB2005PTC103753,LOGIC TRADERS PRIVATE LIMITED,Kolkata,Active,araj_varanasi@yahoo.co.in
U40106GJ2016PTC085576,ADANI SOLAR ENERGY FOUR PRIVATE LIMITED,Ahmedabad,Active,pragnesh.darji@adani.com
U45400WB2008PTC121404,SHAKUNTALAM REALBUILD PRIVATE LIMITED,Kolkata,Active,coallink@gmail.com
U74999DL2013PTC247515,MAKE INDIASMART PRIVATE LIMITED,Delhi,Active,info@makeindiasmart.com
