AAG-2824,ARCOT ENGINEERING LLP,Ernakulam,Active,rethish@msn.com
U45309KL2019PTC058898,FINISHFACTORY SOLUTIONS PRIVATE LIMITED,Ernakulam,Active,arunantony@gmail.com
U65100DL2015PTC280476,ARTIUS INDIA PRIVATE LIMITED,Delhi,Strike Off,info@artiusindia.com
U74999KA2018PTC112059,RAKKATH ENTERPRISES PRIVATE LIMITED,Bangalore,Active,ujjualrb@gmail.com
U18109DL2016PTC299043,BOUTIQUE DARJEE PRIVATE LIMITED,Delhi,Active,Ajay.thapa@outlook.com
U01122MP1997PLC012196,SAUGANDH ORCHARDS LIMITED,Gwalior,Strike Off,-
U51909CT2017PTC008278,LUCENT STEEL PRIVATE LIMITED,Chhattisgarh,Active,lucentsteelpvtltd@gmail.com
U01114TZ2018PTC030625,NOYYAL COLLECTIVE FARMING FARMERS PRODUCER COMPANY LIMITED,Coimbatore,Active,noyyalcf@gmail.com
U60231WB1999PTC089200,SAFEDRIVE CARRIERS PRIVATE LIMITED,Kolkata,Strike Off,-
AAF-9662,OCEAN BLUE ENTERPRISE HOME CARE LLP,Kolkata,Active,nitish@jindalbrothers.co.in
U65910GJ1993PLC020720,TARGET FINANCIAL SERVICES LIMITED,Ahmedabad,Converted to LLP,tfsl_khanna@rediffmail.com
AAP-3812,MAZDA ECO POWER LLP,Mumbai,Active,mazdaecopowerlip19@gmail.com
U72900KA2021PTC145914,INTELLIFARM INNOVATIONS PRIVATE LIMITED,Bangalore,Active,sachin.indane@hotmail.com
U52190WB2012PTC175841,BAKRATUNDA VINCOM PRIVATE LIMITED,Kolkata,Active,rajeshbagri@amrit.co.in
U51395DL2003PTC122951,AG AEROVISION ELECTRONICS PRIVATE LIMITED,Delhi,Active,caparveendutta@gmail.com
U74900DL2011PTC228890,FRANK LEISURE AND EVENTS PRIVATE LIMITED,Delhi,Active,manager@frankhospitalities.com
U65993DL2017PTC317440,DASK CONSULTING SERVICES PRIVATE LIMITED,Delhi,Strike Off,abhilash@itmarg.in
U45202MH2010PTC198376,SUPREME MANOR WADA BHIWANDI INFRASTRUCTURE PRIVATE LIMITED,Mumbai,Active,cs@supremeinfra.com
U74999AP2017PTC104874,OMKARESWARAA PULSES PROCESSING AND TRADING PRIVATE LIMITED,Vijayawada,Active,omkareswarapulses@gmail.com
U74990MP2016PTC035604,SHUBH SAMRUDDHI TELEMART PRIVATE LIMITED,Gwalior,Active,shubhsamraddhi7@gmail.com
U52392DL2000PTC108244,MEMORIEO INFOTECH INDIA PRIVATE LIMITED,Delhi,Strike Off,amit@v5global.com
U24241MH1979PLC021804,VORA SOAPS LIMITED,Mumbai,Amalgamated,nitya.prashanth@godrejinds.com
U24232OR2007PTC009226,HDC PHARMACEUTICALS PRIVATE LIMITED,Cuttack,Strike Off,hdcpharma@rediffmail.com
U65990MP2020PLN052362,RDP PARIWAR NIDHI LIMITED,Gwalior,Active,RDPPARIWAR@GMAIL.COM
U01119TG2006PTC051622,PATALAGANGA GREENFIELDS PRIVATE LIMITED,Hyderabad,Active,patalagangagreenfields@gmail.com
U31300DL1997PTC086007,CABLE SALES AND SERVICES (INDIA) PRIVATE LIMITED,Delhi,Active,cablesalesindia@gmail.com
AAK-5260,JAIVARDHAN FARMERIST LLP,Chandigarh,Active,puriandpuriassociates@gmail.com
U21012WB1947PTC015498,G.LOCHEN & CO PVT LTD,Kolkata,Strike Off,glochen@cal.vsnl.net
